# alpha, Cl, Cd, My
-5.000000e+00,-2.088905e-01,1.868888e-03,2.205817e-01
-4.000000e+00,-1.310325e-01,1.022832e-03,1.485720e-01
-3.000000e+00,-5.259837e-02,4.877966e-04,7.640436e-02
-2.000000e+00,2.617129e-02,2.659754e-04,4.180065e-03
-1.000000e+00,1.050235e-01,3.788147e-04,-6.800226e-02
0.000000e+00,1.836967e-01,7.759099e-04,-1.400472e-01
1.000000e+00,2.619268e-01,1.499075e-03,-2.118508e-01
2.000000e+00,3.487039e-01,2.232116e-03,-2.941802e-01
3.000000e+00,4.241789e-01,3.508827e-03,-3.643023e-01
4.000000e+00,5.010558e-01,5.030258e-03,-4.363562e-01
5.000000e+00,5.769569e-01,6.864331e-03,-5.086761e-01
6.000000e+00,6.526963e-01,9.362637e-03,-5.820117e-01
7.000000e+00,7.266559e-01,1.200149e-02,-6.546842e-01
8.000000e+00,7.995875e-01,1.486535e-02,-7.283141e-01
9.000000e+00,8.706452e-01,1.796854e-02,-7.994782e-01
1.000000e+01,9.404553e-01,2.108363e-02,-8.704951e-01
1.100000e+01,1.009651e+00,2.474896e-02,-9.436808e-01
1.200000e+01,1.077545e+00,2.858415e-02,-1.016230e+00
1.300000e+01,1.144110e+00,3.269407e-02,-1.087928e+00
1.400000e+01,1.200673e+00,3.915326e-02,-1.149550e+00
1.500000e+01,1.270189e+00,4.428656e-02,-1.230586e+00
1.600000e+01,1.327553e+00,4.982575e-02,-1.298053e+00
1.700000e+01,1.389646e+00,5.561606e-02,-1.374321e+00
1.800000e+01,1.450804e+00,6.173268e-02,-1.451001e+00
1.900000e+01,1.511429e+00,6.818841e-02,-1.528575e+00
2.000000e+01,1.571001e+00,7.497171e-02,-1.606275e+00
2.100000e+01,1.629828e+00,8.209613e-02,-1.684447e+00
2.200000e+01,1.687967e+00,8.956618e-02,-1.763104e+00
2.300000e+01,1.745435e+00,9.738810e-02,-1.842203e+00
2.400000e+01,1.809714e+00,1.051760e-01,-1.933409e+00
2.500000e+01,1.867401e+00,1.134952e-01,-2.016002e+00
2.600000e+01,1.924697e+00,1.221316e-01,-2.099390e+00
2.700000e+01,1.981627e+00,1.310891e-01,-2.183561e+00
2.800000e+01,2.038215e+00,1.403725e-01,-2.268500e+00
2.900000e+01,2.094481e+00,1.499883e-01,-2.354187e+00
