# time, z/s, OOP, MT, Pitch
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.943750e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.887500e-03,7.978526e+00,-3.662191e+02,-8.178498e+01,1.013466e+01
8.831250e-03,7.977911e+00,-3.661390e+02,-8.205117e+01,1.013459e+01
1.177500e-02,7.977111e+00,-3.660425e+02,-8.219862e+01,1.013449e+01
1.471875e-02,7.976062e+00,-3.660108e+02,-8.194283e+01,1.013440e+01
1.766250e-02,7.974738e+00,-3.660739e+02,-8.149902e+01,1.013438e+01
2.060625e-02,7.973105e+00,-3.661345e+02,-8.139097e+01,1.013441e+01
2.355000e-02,7.971079e+00,-3.660887e+02,-8.164763e+01,1.013447e+01
2.649375e-02,7.968632e+00,-3.659446e+02,-8.181454e+01,1.013450e+01
2.943750e-02,7.965865e+00,-3.657942e+02,-8.173246e+01,1.013442e+01
3.238125e-02,7.962930e+00,-3.656675e+02,-8.162793e+01,1.013421e+01
3.532500e-02,7.959919e+00,-3.655607e+02,-8.154136e+01,1.013400e+01
3.826875e-02,7.956865e+00,-3.654676e+02,-8.134274e+01,1.013396e+01
4.121250e-02,7.953804e+00,-3.652792e+02,-8.114329e+01,1.013411e+01
4.415625e-02,7.950723e+00,-3.649765e+02,-8.117893e+01,1.013434e+01
4.710000e-02,7.947500e+00,-3.647224e+02,-8.135755e+01,1.013450e+01
5.004375e-02,7.944071e+00,-3.645959e+02,-8.135891e+01,1.013450e+01
5.298750e-02,7.940593e+00,-3.645037e+02,-8.113463e+01,1.013435e+01
5.593125e-02,7.937229e+00,-3.643497e+02,-8.092465e+01,1.013419e+01
5.887500e-02,7.933910e+00,-3.641763e+02,-8.089369e+01,1.013418e+01
6.181875e-02,7.930531e+00,-3.640921e+02,-8.099850e+01,1.013437e+01
6.476250e-02,7.927211e+00,-3.640939e+02,-8.112560e+01,1.013468e+01
6.770625e-02,7.924073e+00,-3.640689e+02,-8.118999e+01,1.013496e+01
