# time, z/s, OOP, MT, Pitch
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.308333e-03,6.183212e+00,-3.119799e+02,-9.518240e+01,3.894025e-01
2.616667e-03,6.182853e+00,-3.119466e+02,-9.527727e+01,3.893932e-01
3.925000e-03,6.182202e+00,-3.118922e+02,-9.547197e+01,3.893687e-01
5.233333e-03,6.181373e+00,-3.118017e+02,-9.586654e+01,3.893088e-01
6.541667e-03,6.180407e+00,-3.116424e+02,-9.648455e+01,3.891969e-01
7.850000e-03,6.179270e+00,-3.114346e+02,-9.718782e+01,3.890277e-01
9.158333e-03,6.177938e+00,-3.112239e+02,-9.770925e+01,3.888132e-01
1.046667e-02,6.176401e+00,-3.110235e+02,-9.775693e+01,3.885869e-01
1.177500e-02,6.174684e+00,-3.108941e+02,-9.723785e+01,3.883809e-01
1.308333e-02,6.172830e+00,-3.109245e+02,-9.634886e+01,3.882052e-01
1.439167e-02,6.170856e+00,-3.110901e+02,-9.544473e+01,3.880549e-01
1.570000e-02,6.168764e+00,-3.112728e+02,-9.480568e+01,3.879362e-01
1.700833e-02,6.166547e+00,-3.114050e+02,-9.450073e+01,3.878769e-01
1.831667e-02,6.164171e+00,-3.115233e+02,-9.440646e+01,3.879175e-01
1.962500e-02,6.161599e+00,-3.116792e+02,-9.429738e+01,3.880862e-01
2.093333e-02,6.158804e+00,-3.118696e+02,-9.401663e+01,3.883708e-01
2.224167e-02,6.155794e+00,-3.120566e+02,-9.355088e+01,3.887212e-01
2.355000e-02,6.152628e+00,-3.122121e+02,-9.299628e+01,3.890781e-01
2.485833e-02,6.149384e+00,-3.123426e+02,-9.248326e+01,3.894050e-01
2.616667e-02,6.146111e+00,-3.125271e+02,-9.205296e+01,3.896979e-01
2.747500e-02,6.142817e+00,-3.128811e+02,-9.161384e+01,3.899779e-01
2.878333e-02,6.139483e+00,-3.134377e+02,-9.100675e+01,3.902833e-01
3.009167e-02,6.136136e+00,-3.141776e+02,-9.008700e+01,3.906725e-01
3.140000e-02,6.132903e+00,-3.150873e+02,-8.874297e+01,3.912320e-01
3.270833e-02,6.129971e+00,-3.161652e+02,-8.695723e+01,3.920617e-01
3.401667e-02,6.127497e+00,-3.173940e+02,-8.489076e+01,3.932458e-01
3.532500e-02,6.125522e+00,-3.187052e+02,-8.274146e+01,3.948516e-01
3.663333e-02,6.123966e+00,-3.201013e+02,-8.061498e+01,3.969309e-01
3.794167e-02,6.122705e+00,-3.216913e+02,-7.859848e+01,3.995176e-01
3.925000e-02,6.121642e+00,-3.235886e+02,-7.665662e+01,4.026387e-01
4.055833e-02,6.120757e+00,-3.258622e+02,-7.465603e+01,4.062977e-01
4.186667e-02,6.120142e+00,-3.284878e+02,-7.258368e+01,4.104586e-01
4.317500e-02,6.119960e+00,-3.313786e+02,-7.047099e+01,4.150746e-01
4.448333e-02,6.120382e+00,-3.344632e+02,-6.837989e+01,4.201121e-01
4.579167e-02,6.121582e+00,-3.377416e+02,-6.639854e+01,4.255623e-01
4.710000e-02,6.123723e+00,-3.412763e+02,-6.444368e+01,4.314584e-01
4.840833e-02,6.126964e+00,-3.450838e+02,-6.238439e+01,4.378529e-01
4.971667e-02,6.131492e+00,-3.491518e+02,-6.023186e+01,4.447934e-01
5.102500e-02,6.137568e+00,-3.534917e+02,-5.805467e+01,4.523481e-01
5.233333e-02,6.145575e+00,-3.581463e+02,-5.596928e+01,4.606096e-01
5.364167e-02,6.155983e+00,-3.631618e+02,-5.411640e+01,4.696754e-01
5.495000e-02,6.169253e+00,-3.685504e+02,-5.255803e+01,4.796415e-01
5.625833e-02,6.185797e+00,-3.743221e+02,-5.127966e+01,4.905908e-01
5.756667e-02,6.205941e+00,-3.804377e+02,-5.025849e+01,5.025775e-01
5.887500e-02,6.229924e+00,-3.868258e+02,-4.950431e+01,5.156180e-01
6.018333e-02,6.258006e+00,-3.934569e+02,-4.899621e+01,5.297055e-01
6.149167e-02,6.290538e+00,-4.003083e+02,-4.866941e+01,5.448157e-01
6.280000e-02,6.327940e+00,-4.073718e+02,-4.851695e+01,5.608921e-01
6.410833e-02,6.370639e+00,-4.146732e+02,-4.858470e+01,5.778529e-01
6.541667e-02,6.419031e+00,-4.222063e+02,-4.892889e+01,5.956160e-01
6.672500e-02,6.473453e+00,-4.299558e+02,-4.962142e+01,6.141103e-01
6.803333e-02,6.534181e+00,-4.379130e+02,-5.064166e+01,6.332862e-01
6.934167e-02,6.601446e+00,-4.460809e+02,-5.189202e+01,6.531242e-01
7.065000e-02,6.675466e+00,-4.545363e+02,-5.337009e+01,6.736182e-01
7.195833e-02,6.756481e+00,-4.633235e+02,-5.514244e+01,6.947832e-01
7.326667e-02,6.844760e+00,-4.723984e+02,-5.730206e+01,7.166604e-01
7.457500e-02,6.940577e+00,-4.817081e+02,-5.998267e+01,7.392835e-01
7.588333e-02,7.044177e+00,-4.911975e+02,-6.318208e+01,7.626507e-01
7.719167e-02,7.155728e+00,-5.008284e+02,-6.678171e+01,7.867199e-01
7.850000e-02,7.275304e+00,-5.106497e+02,-7.075822e+01,8.114558e-01
7.980833e-02,7.402888e+00,-5.207286e+02,-7.507580e+01,8.368399e-01
8.111667e-02,7.538373e+00,-5.310931e+02,-7.961478e+01,8.627958e-01
8.242500e-02,7.681632e+00,-5.417197e+02,-8.437540e+01,8.891959e-01
8.373333e-02,7.832565e+00,-5.524922e+02,-8.941588e+01,9.159380e-01
8.504167e-02,7.991039e+00,-5.633352e+02,-9.468330e+01,9.428990e-01
8.635000e-02,8.156824e+00,-5.741962e+02,-1.001451e+02,9.698934e-01
8.765833e-02,8.329637e+00,-5.848988e+02,-1.058540e+02,9.968101e-01
8.896667e-02,8.509188e+00,-5.953615e+02,-1.119008e+02,1.023648e+00
9.027500e-02,8.695134e+00,-6.057244e+02,-1.182392e+02,1.050336e+00
9.158333e-02,8.887061e+00,-6.160119e+02,-1.246823e+02,1.076705e+00
9.289167e-02,9.084540e+00,-6.260553e+02,-1.312513e+02,1.102664e+00
9.420000e-02,9.287190e+00,-6.358384e+02,-1.380920e+02,1.128259e+00
9.550833e-02,9.494629e+00,-6.454606e+02,-1.451560e+02,1.153498e+00
9.681667e-02,9.706420e+00,-6.547520e+02,-1.522773e+02,1.178293e+00
9.812500e-02,9.922091e+00,-6.634332e+02,-1.592959e+02,1.202576e+00
9.943333e-02,1.014113e+01,-6.715694e+02,-1.660142e+02,1.226361e+00
1.007417e-01,1.036291e+01,-6.793696e+02,-1.722387e+02,1.249633e+00
1.020500e-01,1.058667e+01,-6.867012e+02,-1.779600e+02,1.272314e+00
