Lift Distribution;;;;Bending deformation;;;;Torsional deformation;;;;Local angle off attack;;;;Total torsional deformation;
1g;;5g;;1g;;5g;;1g;;5g;;1g;;5g;;1g;
0.205546493;137.8947368;0.211256117;607.3684211;0;0.000796813;0;0.000796813;0;0.00896861;0.01141925;-0.02690583;0.005162242;-0.282982792;0.010324484;10.06500956;0.005169867;1.67E-16
0.422512235;133.6842105;0.496737357;592.6315789;0.541795666;0.001992032;0.541795666;0.010358566;0.302610114;-0.044843049;0.302610114;-0.206278027;0.216814159;-0.367112811;0.320058997;9.770554493;0.149926145;1.67E-16
0.696574225;129.4736842;0.707993475;577.8947368;0.899380805;0.005577689;0.899380805;0.022310757;0.553833605;-0.116591928;0.502446982;-0.367713004;0.423303835;-0.45124283;0.588495575;9.518164436;0.325701625;-0.104208417
0.953507341;121.0526316;0.930668842;561.0526316;1.181114551;0.007968127;1.186532508;0.037848606;0.839314845;-0.152466368;0.725122349;-0.565022422;0.681415929;-0.577437859;0.887905605;9.13957935;0.496307238;-0.208416834
1.216150082;112.6315789;1.136215334;542.1052632;1.50619195;0.011553785;1.50619195;0.058167331;1.141924959;-0.224215247;0.936378467;-0.708520179;0.970501475;-0.787762906;1.207964602;8.760994264;0.70310192;-0.324649299
1.455954323;104.2105263;1.353181077;518.9473684;1.88003096;0.016334661;1.885448916;0.090438247;1.541598695;-0.295964126;1.153344209;-0.887892377;1.280235988;-0.913957935;1.491887906;8.424474187;0.961595273;-0.476953908
1.787112561;93.68421053;1.570146819;491.5789474;2.215944272;0.023505976;2.210526316;0.12749004;1.935562806;-0.367713004;1.376019576;-1.067264574;1.579646018;-1.124282983;1.775811209;8.045889101;1.256277696;-0.645290581
2.10685155;81.05263158;1.769983687;468.4210526;2.589783282;0.033067729;2.530185759;0.16812749;2.323817292;-0.457399103;1.581566069;-1.228699552;1.83259587;-1.292543021;2.054572271;7.625239006;1.576809453;-0.829659319
2.52365416;70.52631579;1.992659054;441.0526316;2.990712074;0.043824701;2.876934985;0.217131474;2.7862969;-0.547085202;1.798531811;-1.426008969;2.095870206;-1.41873805;2.333333333;7.288718929;1.892171344;-1.014028056
2.79771615;60;2.198205546;415.7894737;3.261609907;0.049800797;3.104489164;0.251792829;3.283034258;-0.600896861;2.004078303;-1.659192825;2.384955752;-1.586998088;2.617256637;6.910133843;2.440177253;-1.346693387
3.180261011;47.36842105;2.415171289;390.5263158;3.521671827;0.056972112;3.310371517;0.282868526;3.528548124;-0.618834081;2.215334421;-1.856502242;2.674041298;-1.755258126;2.937315634;6.615678776;2.957163959;-1.647294589
3.385807504;41.05263158;2.626427406;361.0526316;;;3.51625387;0.312749004;;;2.432300163;-2;2.957964602;-1.923518164;3.236725664;6.405353728;3.536189069;-1.987975952
3.431484502;36.84210526;2.837683524;335.7894737;;;;;;;2.65497553;-2.197309417;3.22640118;-2.091778203;3.525811209;6.23709369;;
3.477161501;34.73684211;3.048939641;304.2105263;;;;;;;2.871941272;-2.286995516;3.525811209;-2.217973231;;;;
3.517128874;28.42105263;3.237357259;272.6315789;;;;;;;3.088907015;-2.358744395;;;;;;
3.528548124;24.21052632;3.397226754;232.6315789;;;;;;;3.328711256;-2.376681614;;;;;;
;;3.477161501;180;;;;;;;3.517128874;-2.376681614;;;;;;
;;3.517128874;129.4736842;;;;;;;;;;;;;;
