Lift Distribution;;;;Bending deformation;;;;Torsional deformation;;;;Local angle off attack;;;
1g;;5g;;1g;;5g;;1g;;5g;;1g;;5g;
0.205546493;137.8947368;0.199836868;645.2631579;0;0.000796813;0;0.000796813;0.005709625;0.00896861;0.01141925;-0.00896861;0.005162242;-0.282982792;0.010324484;10.90630975
0.422512235;133.6842105;0.302610114;638.9473684;0.541795666;0.001992032;0.547213622;0.010358566;0.308319739;-0.044843049;0.27406199;-0.152466368;0.216814159;-0.367112811;0.320058997;10.6959847
0.696574225;129.4736842;0.496737357;628.4210526;0.899380805;0.005577689;0.904798762;0.023505976;0.593800979;-0.134529148;0.491027732;-0.331838565;0.423303835;-0.45124283;0.588495575;10.40152964
0.953507341;121.0526316;0.707993475;613.6842105;1.186532508;0.007968127;1.191950464;0.039043825;0.907830343;-0.206278027;0.725122349;-0.565022422;0.681415929;-0.577437859;0.882743363;9.938814532
1.216150082;112.6315789;0.930668842;590.5263158;1.50619195;0.011553785;1.50619195;0.05936255;1.204730832;-0.313901345;0.936378467;-0.816143498;0.970501475;-0.787762906;1.207964602;9.391969407
1.455954323;104.2105263;1.136215334;565.2631579;1.89628483;0.022310757;1.890866873;0.097609562;1.553017945;-0.475336323;1.153344209;-1.156950673;1.280235988;-0.913957935;1.491887906;8.803059273
1.787112561;93.68421053;1.353181077;535.7894737;2.215944272;0.030677291;2.210526316;0.144223108;1.935562806;-0.834080717;1.347471452;-1.497757848;1.579646018;-1.124282983;1.64159292;8.340344168
2.10685155;81.05263158;1.575856444;500;2.589783282;0.043824701;2.524767802;0.196812749;2.323817292;-1.121076233;1.518760196;-1.856502242;1.83259587;-1.292543021;1.780973451;7.751434034
2.52365416;70.52631579;1.758564437;468.4210526;2.990712074;0.060557769;2.871517028;0.260159363;2.7862969;-1.31838565;1.650081566;-2.376681614;2.095870206;-1.41873805;2.054572271;6.783938815
2.79771615;60;1.958401305;432.6315789;3.261609907;0.071314741;3.099071207;0.30438247;3.294453507;-1.372197309;1.781402936;-2.914798206;2.384955752;-1.586998088;2.168141593;6.363288719
3.180261011;47.36842105;2.146818923;398.9473684;3.494582043;0.082071713;3.294117647;0.34501992;3.534257749;-1.372197309;1.924143556;-3.488789238;2.674041298;-1.755258126;2.302359882;6.068833652
3.385807504;41.05263158;2.358075041;363.1578947;;;3.505417957;0.388047809;;;2.061174551;-3.99103139;2.957964602;-1.923518164;2.581120944;5.479923518
3.431484502;36.84210526;2.563621533;335.7894737;;;;;;;2.221044046;-4.457399103;3.22640118;-2.091778203;2.839233038;5.101338432
3.477161501;34.73684211;2.774877651;304.2105263;;;;;;;2.415171289;-4.887892377;3.525811209;-2.217973231;3.128318584;4.891013384
3.517128874;28.42105263;2.974714519;276.8421053;;;;;;;2.597879282;-5.174887892;;;3.401917404;4.722753346
3.528548124;24.21052632;3.191680261;247.3684211;;;;;;;2.820554649;-5.443946188;;;3.530973451;4.680688337
;;3.340130506;215.7894737;;;;;;;3.031810767;-5.515695067;;;;
;;3.397226754;198.9473684;;;;;;;3.260195759;-5.551569507;;;;
;;3.465742251;158.9473684;;;;;;;3.534257749;-5.551569507;;;;
;;3.505709625;118.9473684;;;;;;;;;;;;
